bench_mat_22_1_1_mat_22_1_1 974ns
bench_mat_22_1_1_mat_23_1_1 491ns
bench_mat_22_1_1_mat_24_1_100 3.471µs
bench_mat_22_1_1_mat_26_1_900 32.492µs
bench_mat_22_1_1_mat_28_1_200 7.603µs
bench_mat_22_1_1_mat_30_1_1000 35.121µs
bench_mat_22_1_1_mat_32_1_300 11.454µs
bench_mat_22_1_1_mat_34_1_400 14.813µs
bench_mat_22_1_1_mat_36_1_500 18.521µs
bench_mat_22_1_1_mat_38_1_600 20.308µs
bench_mat_22_1_1_mat_3_1_800 27.488µs
bench_mat_22_1_1_mat_40_1_700 25.404µs
bench_mat_23_1_1_mat_22_1_1 558ns
bench_mat_23_1_1_mat_23_1_1 458ns
bench_mat_23_1_1_mat_24_1_100 3.48µs
bench_mat_23_1_1_mat_26_1_900 33.693µs
bench_mat_23_1_1_mat_28_1_200 7.66µs
bench_mat_23_1_1_mat_30_1_1000 35.484µs
bench_mat_23_1_1_mat_32_1_300 10.491µs
bench_mat_23_1_1_mat_34_1_400 14.963µs
bench_mat_23_1_1_mat_36_1_500 17.432µs
bench_mat_23_1_1_mat_38_1_600 20.549µs
bench_mat_23_1_1_mat_3_1_800 28.733µs
bench_mat_23_1_1_mat_40_1_700 25.196µs
bench_mat_24_1_100_mat_25_100_1 3.35µs
bench_mat_25_100_1_mat_22_1_1 3.881µs
bench_mat_25_100_1_mat_23_1_1 5.104µs
bench_mat_25_100_1_mat_24_1_100 94.974µs
bench_mat_25_100_1_mat_26_1_900 869.13µs
bench_mat_25_100_1_mat_28_1_200 184.317µs
bench_mat_25_100_1_mat_30_1_1000 942.718µs
bench_mat_25_100_1_mat_32_1_300 279.921µs
bench_mat_25_100_1_mat_34_1_400 527.779µs
bench_mat_25_100_1_mat_36_1_500 1.166788ms
bench_mat_25_100_1_mat_38_1_600 627.373µs
bench_mat_25_100_1_mat_3_1_800 737.163µs
bench_mat_25_100_1_mat_40_1_700 662.546µs
bench_mat_26_1_900_mat_27_900_1 26.142µs
bench_mat_27_900_1_mat_22_1_1 35.267µs
bench_mat_27_900_1_mat_23_1_1 36.267µs
bench_mat_27_900_1_mat_24_1_100 858.863µs
bench_mat_27_900_1_mat_26_1_900 7.633671ms
bench_mat_27_900_1_mat_28_1_200 1.655909ms
bench_mat_27_900_1_mat_30_1_1000 9.249414ms
bench_mat_27_900_1_mat_32_1_300 2.516505ms
bench_mat_27_900_1_mat_34_1_400 3.992079ms
bench_mat_27_900_1_mat_36_1_500 4.521744ms
bench_mat_27_900_1_mat_38_1_600 5.18565ms
bench_mat_27_900_1_mat_3_1_800 6.741941ms
bench_mat_27_900_1_mat_40_1_700 6.338932ms
bench_mat_28_1_200_mat_29_200_1 8.234µs
bench_mat_29_200_1_mat_22_1_1 9.409µs
